accuracy,loss,val_accuracy,val_loss
0.4475446343421936,1.140619158744812,0.612500011920929,0.9401154518127441
0.6111606955528259,0.9210025072097778,0.6866071224212646,0.8214820623397827
0.6627232432365417,0.8089070320129395,0.6928571462631226,0.7101491689682007
0.7055803537368774,0.7111424803733826,0.768750011920929,0.6846867799758911
0.7270089387893677,0.6568678617477417,0.7696428298950195,0.5995142459869385
0.7602678537368774,0.5985727310180664,0.7758928537368774,0.5469387173652649
0.7647321224212646,0.5784587264060974,0.7705357074737549,0.5884828567504883
0.7741071581840515,0.570569634437561,0.7830356955528259,0.5654094219207764
0.7725446224212646,0.5619504451751709,0.7517856955528259,0.5813913941383362
0.7872768044471741,0.5338056683540344,0.8169642686843872,0.4785952866077423
0.7991071343421936,0.5058013200759888,0.7633928656578064,0.5419977307319641
0.7993303537368774,0.504857063293457,0.8187500238418579,0.47824716567993164
0.7995535731315613,0.4942599833011627,0.8035714030265808,0.4748263359069824
0.7991071343421936,0.48960408568382263,0.8098214268684387,0.4855589270591736
0.8066964149475098,0.4778915345668793,0.8151785731315613,0.46306878328323364
