accuracy,loss,val_accuracy,val_loss
0.42879465222358704,1.1675206422805786,0.5901785492897034,1.003741979598999
0.6196428537368774,0.9295415878295898,0.6535714268684387,0.8360147476196289
0.6790178418159485,0.8201702833175659,0.6928571462631226,0.7437164783477783
0.7203124761581421,0.7137000560760498,0.7017857432365417,0.7167315483093262
0.7466517686843872,0.6496995091438293,0.7383928298950195,0.6253684163093567
0.7720982432365417,0.6040635108947754,0.7732142806053162,0.5704450011253357
0.7854910492897034,0.557641327381134,0.7758928537368774,0.5770567059516907
0.7915178537368774,0.5422298312187195,0.8017857074737549,0.5133000016212463
0.7964285612106323,0.5193622708320618,0.8008928298950195,0.530794620513916
0.7973214387893677,0.5169459581375122,0.8035714030265808,0.49478355050086975
0.8082589507102966,0.4864969551563263,0.8044642806053162,0.48161375522613525
0.8151785731315613,0.47070878744125366,0.8330357074737549,0.4652443528175354
0.8191964030265808,0.4711383879184723,0.8169642686843872,0.4787253737449646
0.8145089149475098,0.4619329273700714,0.8276785612106323,0.4528154730796814
0.8241071701049805,0.4521988332271576,0.8258928656578064,0.45027774572372437
