classe,precision,recall,f1-score,support
glioma,0.9047619047619048,0.285,0.43346007604562736,400.0
meningioma,0.35103510351035105,0.975,0.5162144275314361,400.0
notumor,0.9261363636363636,0.815,0.8670212765957447,400.0
pituitary,1.0,0.0275,0.0535279805352798,400.0
accuracy,0.525625,0.525625,0.525625,0.525625
macro avg,0.7954833429771548,0.525625,0.467555940177022,1600.0
weighted avg,0.7954833429771548,0.525625,0.467555940177022,1600.0
