classe,precision,recall,f1-score,support
glioma,0.7777777777777778,0.455,0.5741324921135647,400.0
meningioma,0.5111940298507462,0.685,0.5854700854700855,400.0
notumor,0.8,0.88,0.8380952380952381,400.0
pituitary,0.8384615384615385,0.8175,0.8278481012658228,400.0
accuracy,0.709375,0.709375,0.709375,0.709375
macro avg,0.7318583365225156,0.709375,0.7063864792361778,1600.0
weighted avg,0.7318583365225156,0.709375,0.7063864792361778,1600.0
