classe,precision,recall,f1-score,support
glioma,0.6385542168674698,0.1325,0.2194616977225673,400.0
meningioma,0.35390946502057613,0.215,0.26749611197511663,400.0
notumor,0.29976209357652656,0.945,0.4551475015051174,400.0
pituitary,0.15384615384615385,0.005,0.009685230024213076,400.0
accuracy,0.324375,0.324375,0.324375,0.324375
macro avg,0.3615179823276816,0.32437499999999997,0.23794763530675359,1600.0
weighted avg,0.36151798232768156,0.324375,0.2379476353067536,1600.0
