classe,precision,recall,f1-score,support
glioma,0.8817567567567568,0.6525,0.75,400.0
meningioma,0.7931034482758621,0.805,0.7990074441687345,400.0
notumor,0.8464818763326226,0.9925,0.9136939010356732,400.0
pituitary,0.8974358974358975,0.9625,0.9288299155609168,400.0
accuracy,0.853125,0.853125,0.853125,0.853125
macro avg,0.8546944947002847,0.853125,0.8478828151913311,1600.0
weighted avg,0.8546944947002848,0.853125,0.8478828151913311,1600.0
