classe,precision,recall,f1-score,support
glioma,0.9104938271604939,0.7375,0.8149171270718232,400.0
meningioma,0.8817480719794345,0.8575,0.8694550063371356,400.0
notumor,0.8599137931034483,0.9975,0.9236111111111112,400.0
pituitary,0.9243498817966903,0.9775,0.9501822600243013,400.0
accuracy,0.8925,0.8925,0.8925,0.8925
macro avg,0.8941263935100168,0.8925000000000001,0.8895413761360929,1600.0
weighted avg,0.8941263935100168,0.8925,0.8895413761360929,1600.0
