classe,precision,recall,f1-score,support
glioma,0.8042704626334519,0.565,0.6637298091042585,400.0
meningioma,0.6060606060606061,0.4,0.4819277108433735,400.0
notumor,0.6480263157894737,0.985,0.7817460317460317,400.0
pituitary,0.8299776286353467,0.9275,0.8760330578512396,400.0
accuracy,0.719375,0.719375,0.719375,0.719375
macro avg,0.7220837532797196,0.719375,0.7008591523862258,1600.0
weighted avg,0.7220837532797196,0.719375,0.7008591523862259,1600.0
