experimento,tecnica,modelo,configuracao,val_accuracy,val_loss,test_loss,acuracia,precisao_macro,recall_macro,f1_macro,precisao_weighted,recall_weighted,f1_weighted,tumores_como_notumor,tempo_segundos,epocas_executadas
1,CNN,CNN básica,Filtros 32/64/128; Dense 128; sem regularização,0.8330357074737549,0.45027774572372437,1.0573456287384033,0.719375,0.7220837532797196,0.719375,0.7008591523862258,0.7220837532797196,0.719375,0.7008591523862259,214,128.79628658294678,15.0
2,CNN,CNN com Dropout 20%,Mesma CNN básica; Dropout 0.20 após a camada densa,0.8187500238418579,0.46306878328323364,0.8897547721862793,0.709375,0.7318583365225156,0.709375,0.7063864792361778,0.7318583365225156,0.709375,0.7063864792361778,88,118.97745656967163,15.0
3,CNN,CNN BatchNorm e Dropout 50%,Batch Normalization após convoluções e Dense; Dropout 0.50,0.8383928537368774,0.4693785607814789,1.8838478326797485,0.525625,0.7954833429771548,0.525625,0.467555940177022,0.7954833429771548,0.525625,0.467555940177022,26,112.44447326660156,15.0
4,CNN,CNN Augmentation L2 EarlyStopping,Data augmentation; L2=1e-4; EarlyStopping; ReduceLROnPlateau,0.3642857074737549,1.3521647453308105,1.758610486984253,0.324375,0.3615179823276816,0.32437499999999997,0.23794763530675359,0.36151798232768156,0.324375,0.2379476353067536,883,45.55058526992798,5.0
5,SVM,SVM Linear C=1,HOG 64x64; StandardScaler; kernel linear; C=1,0.8589285714285714,,,0.824375,0.8228794888612642,0.824375,0.8212511355199592,0.822879488861264,0.824375,0.8212511355199592,67,6.43386435508728,
6,SVM,SVM RBF C=1,HOG 64x64; StandardScaler; kernel RBF; C=1; gamma=scale,0.9053571428571429,,,0.853125,0.8546944947002847,0.853125,0.8478828151913311,0.8546944947002848,0.853125,0.8478828151913311,72,10.808177947998047,
7,SVM,SVM RBF C=10,HOG 64x64; StandardScaler; kernel RBF; C=10; gamma=scale,0.9366071428571429,,,0.894375,0.896411296306644,0.894375,0.8909872674920001,0.896411296306644,0.894375,0.8909872674920001,54,12.490878105163574,
8,SVM,SVM RBF PCA Balanceado,HOG 64x64; PCA 256; RBF; C=10; class_weight=balanced,0.9410714285714286,,,0.8925,0.8941263935100168,0.8925000000000001,0.8895413761360929,0.8941263935100168,0.8925,0.8895413761360929,65,3.4718897342681885,
